,rating,reviewText,categories,gPlusPlaceId,unixReviewTime,reviewTime,language,name,address,closed,gps,translated,top_category,relevant_cat,cat_cluster,sentiment,charged_words,price_words,Class_$$,Class_$$$
35,3.0,Will never go in to any of there stores again im 64 years old and they card me.please dont take this people stop going.,"['Bar & Grill', 'Chicken Wings Restaurant', 'Takeout Restaurant']",101273590867068362261,2014-03-14 19:58:08,2014-03-14,en,Buffalo Wild Wings,"['524 Fort Evans Rd NE', 'Leesburg, VA 20176']",False,"[39.106972, -77.529233]",Will never go in to any of there stores again im 64 years old and they card me.please dont take this people stop going.,Bar & Grill,True,3.0,"{'neg': 0.087, 'neu': 0.913, 'pos': 0.0, 'compound': -0.296}",['stop'],[],0,1
56,5.0,"I've been here dozens of times, and I'll keep coming back. I really like the usuzukari and the Bruce roll","['Sushi Restaurant', 'Asian Restaurant', 'Japanese Restaurant']",111971088396054239194,2014-03-15 01:59:21,2014-03-14,en,Bluefin,"['5401 Lone Tree Way #130', 'Brentwood, CA 94513']",False,"[37.961078, -121.748886]","I've been here dozens of times, and I'll keep coming back. I really like the usuzukari and the Bruce roll",Sushi Restaurant,True,2.0,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.4201}",['like'],[],1,0
63,3.0,"Finally came back to this place after so many years, atmosphere was ok anyways I ordered two shrimp tacos and a lobster taco. My shrimp tacos had about only 2-3 shrimps the rest was soggy bell peppers and a broken up corn tortilla, my lobster taco was a lil better.","['Latin American Restaurant', 'Mexican Restaurant', 'Seafood Restaurant']",101788547508969264434,2012-09-08 04:45:55,2012-09-07,en,Mariscos Ensenada,"['1405 El Camino Real', 'Oceanside, CA 92054']",False,"[33.20043, -117.331493]","Finally came back to this place after so many years, atmosphere was ok anyways I ordered two shrimp tacos and a lobster taco. My shrimp tacos had about only 2-3 shrimps the rest was soggy bell peppers and a broken up corn tortilla, my lobster taco was a lil better.",Latin American Restaurant,True,1.0,"{'neg': 0.056, 'neu': 0.851, 'pos': 0.092, 'compound': 0.25}","['ok', 'broken', 'better.']",[],0,1
64,5.0,I live in sandiego its about an hour drive and every time we go its worth it to the last bite. Yummm. Wish their was one closer.,['Chicken Restaurant'],101959623187827102951,2013-12-25 20:16:53,2013-12-25,en,Charo Chicken,"['1170 Baker St', 'Costa Mesa, CA 92626']",False,"[33.680515, -117.90633]",I live in san diego it's about an hour drive and every time we go its worth it to the last bite. Yummm. Wish there was one closer.,Chicken Restaurant,True,2.0,"{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.5574}","['worth', 'Wish']",['worth'],0,1
65,2.0,"I ordered 4 rolled tacos. when I received them, I got a lot of guacamole just smothered on my tacos. A little bit of yellow cheese, where's the lettuce sourcream and salsa fresca Service was great toobad for the food.","['Mexican Restaurant', 'Latin American Restaurant']",105242172534828461225,2011-12-19 20:45:46,2011-12-19,en,Los Primos Mexican Food,"['2708 Loker Ave W', 'Carlsbad, CA 92010']",False,"[33.131197, -117.260452]","I ordered 4 rolled tacos. when I received them, I got a lot of guacamole just smothered on my tacos. A little bit of yellow cheese, where's the lettuce sourcream and salsa fresca Service was great toobad for the food.",Mexican Restaurant,True,2.0,"{'neg': 0.043, 'neu': 0.864, 'pos': 0.093, 'compound': 0.4939}","['smothered', 'great']",[],0,1
67,3.0,,"['American Restaurant', 'Pub', 'Sports Bar']",101150904969050708534,2012-09-13 01:15:06,2012-09-12,en,Kalapaki Joe's,"['3501 Rice St #208', 'Lihue, HI 96766']",False,"[21.961391, -159.353328]",,American Restaurant,True,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[],1,0
82,5.0,Top-notch food; very interesting ingredients and combinations. The tea sommelier did a particularly excellent job for Sophia and the beers I had were well-matched too. Definitely worth flying to Melbourne for.,"['Restaurant', 'Cafe', 'Bistro']",112700120194708351472,2013-10-12 09:58:41,2013-10-12,en,Vue de monde,"['Level 55/Rialto 525 Collins St', 'Melbourne VIC 3000', 'Australia']",False,"[-37.818542, 144.95751]",Top-notch food; very interesting ingredients and combinations. The tea sommelier did a particularly excellent job for Sophia and the beers I had were well-matched too. Definitely worth flying to Melbourne for.,Restaurant,True,2.0,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.8906}","['interesting', 'excellent', 'Definitely', 'worth']",['worth'],1,0
83,3.0,"WELL I HAVE EATEN HERE SEVERAL TIMES AND EVERYTHING IS GREAT, I  TRIED TO HAVE A LARGE PARTY (18 PEOPLE) SO I CALLED A DAY AHEAD TO MAKE A RESERVATION AND THEY SAID THEY DONT TAKE RESERVATION AND I COULD COME 1-2 HOURS BEFORE I WANTED TO DINE AND THEY COULD DO IT THAT WAY.   SERIOUSLY? I WANT TO BRING A 18 PERSON PARTY TO YOUR ESTABLISHMENT AND YOU WANT ME TO WAIT FOR 2 HOURS BEFORE? ILL TAKE MY MONEY SOMEWHERE ELSE...","['American Restaurant', 'Dessert Restaurant']",101634997104301806688,2012-11-08 18:55:48,2012-11-08,en,The Cheesecake Factory,"['12379 N Mainstreet', 'Rancho Cucamonga, CA 91739']",False,"[34.112, -117.535357]","WELL I HAVE EATEN HERE SEVERAL TIMES AND EVERYTHING IS GREAT, I  TRIED TO HAVE A LARGE PARTY (18 PEOPLE) SO I CALLED A DAY AHEAD TO MAKE A RESERVATION AND THEY SAID THEY DONT TAKE RESERVATION AND I COULD COME 1-2 HOURS BEFORE I WANTED TO DINE AND THEY COULD DO IT THAT WAY.   SERIOUSLY? I WANT TO BRING A 18 PERSON PARTY TO YOUR ESTABLISHMENT AND YOU WANT ME TO WAIT FOR 2 HOURS BEFORE? ILL TAKE MY MONEY SOMEWHERE ELSE...",American Restaurant,True,2.0,"{'neg': 0.06, 'neu': 0.751, 'pos': 0.19, 'compound': 0.9184}","['WELL', 'GREAT,', 'PARTY', 'SERIOUSLY?', 'WANT', 'PARTY', 'WANT', 'ILL']",['money'],1,0
89,3.0,,['Mexican Restaurant'],106979566674123835185,2013-04-29 01:02:24,2013-04-28,en,Taco Bell,"['1850 W Glenoaks Blvd', 'Glendale, CA 91201']",False,"[34.173532, -118.293509]",,Mexican Restaurant,True,0.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[],0,1
95,5.0,The service is good and they are nice. Everything I've tried at Lotus has been great.,"['Vegetarian Restaurant', 'Eclectic Restaurant', 'Cafe']",118165048892915833083,2011-06-14 02:32:53,2011-06-13,en,Lotus Cafe & Juice Bar,"['765 S Coast Highway 101', 'Encinitas, CA 92024']",False,"[33.042048, -117.29286]",The service is good and they are nice. Everything I've tried at Lotus has been great.,Vegetarian Restaurant,True,3.0,"{'neg': 0.0, 'neu': 0.57, 'pos': 0.43, 'compound': 0.8689}","['good', 'nice.', 'great.']",[],1,0
108,5.0,"The Rocking V does rock.  Attentive, expert servers are friendly and welcoming.  The menu and specials are both creative and satisfying for a wide range of tastes from Vegan to Carnivore. Beautiful presentation.  You could be in the most expensive San Francisco restaurant and have dishes from the Rocking V placed before you and not a thing would be out of place.  The quality is right on par.  It is just more fun in Kanab.  Even the art on their gallery walls is a plus...rare in smaller towns.  By the time you finish dinner, you feel a part of this establishment, or it becomes a part of you. The place to eat in Utah, certainly the place to eat in Kanab.","['American Restaurant', 'Art Gallery']",115412795237864531424,2011-08-08 06:21:08,2011-08-07,en,Rocking V Cafe,"['97 W Center St', 'Kanab, UT 84741']",False,"[37.047998, -112.530493]","The Rocking V does rock.  Attentive, expert servers are friendly and welcoming.  The menu and specials are both creative and satisfying for a wide range of tastes from Vegan to Carnivore. Beautiful presentation.  You could be in the most expensive San Francisco restaurant and have dishes from the Rocking V placed before you and not a thing would be out of place.  The quality is right on par.  It is just more fun in Kanab.  Even the art on their gallery walls is a plus...rare in smaller towns.  By the time you finish dinner, you feel a part of this establishment, or it becomes a part of you. The place to eat in Utah, certainly the place to eat in Kanab.",American Restaurant,True,1.0,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.9678}","['friendly', 'welcoming.', 'creative', 'satisfying', 'Beautiful', 'fun', 'certainly']","['expensive', 'fee']",1,0
136,3.0,"Sí que es verdad que es uno de los sitios más emblemáticos de la ciudad, un restaurante  con solera e historia, pero el precio me parece elevado para lo que ofrece. Al final, uno paga más por lo que es que por lo que come. Eso sí, si quieres quedar bien con una visita de fuera, pide el cochinillo asado, que triunfas seguro.","['Restaurant', 'Madrilian Restaurant', 'Steak House']",103705937773661975097,2013-12-16 09:37:14,2013-12-16,es,Botín,"['Calle Cuchilleros, 17', '28005 Madrid', 'Spain']",False,"[40.414212, -3.70799]","Yes, it is true that it is one of the most emblematic places in the city, a restaurant with tradition and history, but the price seems high for what it offers. In the end, you pay more for what you are than for what you eat. Of course, if you want to look good with a visitor from outside, order the roast suckling pig, which is sure to be a success.",Restaurant,True,2.0,"{'neg': 0.019, 'neu': 0.774, 'pos': 0.206, 'compound': 0.9377}","['Yes,', 'true', 'pay', 'want', 'good', 'sure', 'success.']",['price'],1,0
161,4.0,"Un sitio ideal para ir con tu pareja o alguien cercano y sorprenderlo. El sitio es pequeño, con lo que no recomiendo ir con mucha gente. Además, debido a su popularidad y a su buen hacer en la cocina, suele haber colas grandes, así que es mejor reservar con antelación. Muy bien de precios y mejor de sabores (sobre todo el chocolate con pétalos de rosa).",['Restaurant'],113354211356988932341,2013-12-05 12:17:27,2013-12-05,es,El Jardín Secreto,"['Calle Conde Duque, 2', '28015 Madrid', 'Spain']",False,"[40.425791, -3.711552]","An ideal place to go with your partner or someone close and surprise them. The place is small, so I don't recommend going with many people. Also, due to its popularity and its good work in the kitchen, there are usually long queues, so it is best to book in advance. Very good prices and better flavors (especially the chocolate with rose petals).",Restaurant,True,1.0,"{'neg': 0.03, 'neu': 0.692, 'pos': 0.278, 'compound': 0.9622}","['ideal', 'surprise', 'recommend', 'popularity', 'good', 'best', 'good', 'better']","['price', 'deal']",1,0
189,5.0,,"['Latin American Restaurant', 'Mexican Restaurant']",116849394424940770423,2013-07-10 01:08:55,2013-07-09,en,El Gallo Grill,"['4533 East Cesar E Chavez Avenue', 'Los Angeles, CA 90022']",False,"[34.040661, -118.168086]",,Latin American Restaurant,True,2.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[],1,0
237,3.0,"This is a very cute hotel with good amenities and a nice location.  What is not so great is the cranky cocktail staff in the hotel bar on the second floor.  Ugh.  The last thing I need when I'm trying to unwind is a tightly wound, sour cocktail waitress delivering my $18 drink.",['Restaurant'],106689630448064755324,2013-05-22 18:28:27,2013-05-22,en,Gilligan's,"['310 W Broadway', 'New York, NY 10013']",False,"[40.721976, -74.00427]","This is a very cute hotel with good amenities and a nice location.  What is not so great is the cranky cocktail staff in the hotel bar on the second floor.  Ugh.  The last thing I need when I'm trying to unwind is a tightly wound, sour cocktail waitress delivering my $18 drink.",Restaurant,True,1.0,"{'neg': 0.109, 'neu': 0.751, 'pos': 0.141, 'compound': 0.2627}","['cute', 'good', 'nice', 'great', 'Ugh.']",[],1,0
262,4.0,,"['Chinese Restaurant', 'Asian Restaurant']",107788597561929153540,2013-08-05 16:39:12,2013-08-05,en,China Cafe,"['4174 E 4th Ave', 'Hialeah, FL 33013']",False,"[25.860504, -80.274754]",,Chinese Restaurant,True,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[],1,0
265,1.0,"Have been going to this restaurant for years and always enjoyed fresh sliced turkey dinner with the sides and pie for dessert for a reasonable price.  On this Thanksgiving Day all four in our party ordered the above but received pressed turkey, cold and uncooked yams served in little cut up squares, uncooked veggies.  It was terrible and we sent it back and ordered the fresh cut ham but it was canned ham and the sides were the same as above.  They would not allow us to order from the regular menu and the charge for this terrible dinner was $24.95 each.  The apple pie tasted okay. They have lost mine and my entire family's business.  I know these had to be different owners than the ones in the past.  The staff was all Asian, either Chinese or Japanese so perhaps they just do not know how to run an American restaurant.  Of course I love both Chinese and Japanese food but not when I expect American food in an American restaurant on an American Thanksgiving Day.  Thank you for allowing me to express my opinion and disappointment in this traditional meal that my family and I have enjoyed for years there in the past.","['American Restaurant', 'Bakery']",112555091379349206292,2013-12-01 01:14:42,2013-11-30,en,Marie Callender's Restaurant & Bakery,"['14743 Ventura Blvd', 'Sherman Oaks, CA 91403']",False,"[34.152491, -118.454241]","Have been going to this restaurant for years and always enjoyed fresh sliced turkey dinner with the sides and pie for dessert for a reasonable price.  On this Thanksgiving Day all four in our party ordered the above but received pressed turkey, cold and uncooked yams served in little cut up squares, uncooked veggies.  It was terrible and we sent it back and ordered the fresh cut ham but it was canned ham and the sides were the same as above.  They would not allow us to order from the regular menu and the charge for this terrible dinner was $24.95 each.  The apple pie tasted okay. They have lost mine and my entire family's business.  I know these had to be different owners than the ones in the past.  The staff was all Asian, either Chinese or Japanese so perhaps they just do not know how to run an American restaurant.  Of course I love both Chinese and Japanese food but not when I expect American food in an American restaurant on an American Thanksgiving Day.  Thank you for allowing me to express my opinion and disappointment in this traditional meal that my family and I have enjoyed for years there in the past.",American Restaurant,True,1.0,"{'neg': 0.098, 'neu': 0.799, 'pos': 0.103, 'compound': 0.0266}","['enjoyed', 'fresh', 'party', 'cut', 'terrible', 'fresh', 'cut', 'allow', 'terrible', 'okay.', 'lost', 'love', 'Thank', 'disappointment', 'enjoyed']","['price', 'charge']",1,0
277,5.0,Cool,"['Barbecue Restaurant', 'Caterer', 'Brewpub']",111199329511112880492,2012-10-12 01:46:13,2012-10-11,en,Sam Taylor's Bar B-Q,"['435 S Cherry St', 'Denver, CO 80246']",True,"[39.708372, -104.933613]",Cool,Barbecue Restaurant,True,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",['Cool'],[],0,1
287,3.0,"I ordered four tacos to go, drove home and found my order made completely wrong. It was too far to go back and re-order.   Advice for any vegetarians wishing to dine here: *make sure* you say no meat, probably twice, instead of saying ""I'd like only veg items x, y and z"". Because they did give me x, y and z, only on top of a mountain of beef.  Other times, the food has been okay and the service isn't bad (at least at the counter). As a plus, they did charge me the 75 cents for a meatless taco. Could've been worse, could've been way better.","['Mexican Restaurant', 'Latin American Restaurant']",117881696350248097736,2012-11-27 07:15:21,2012-11-26,en,Taqueria El Tapatio,"['1266 S Glendale Ave', 'Glendale, CA 91205']",False,"[34.130254, -118.252288]","I ordered four tacos to go, drove home and found my order made completely wrong. It was too far to go back and re-order.   Advice for any vegetarians wishing to dine here: *make sure* you say no meat, probably twice, instead of saying ""I'd like only veg items x, y and z"". Because they did give me x, y and z, only on top of a mountain of beef.  Other times, the food has been okay and the service isn't bad (at least at the counter). As a plus, they did charge me the 75 cents for a meatless taco. Could've been worse, could've been way better.",Mexican Restaurant,True,4.0,"{'neg': 0.071, 'neu': 0.796, 'pos': 0.133, 'compound': 0.6659}","['wrong.', 'wishing', 'sure*', 'no', 'like', 'top', 'okay', 'bad', 'worse,', 'better.']",['charge'],1,0
294,3.0,"this place is the bomb, I'm a meat eater and I love LAMB and it just keep on coming. the price is alright with me my wife ,3sons and grandson don't pay I do","['Brazilian Restaurant', 'Latin American Restaurant', 'South American Restaurant']",114674334576568084077,2012-12-29 14:58:09,2012-12-29,en,Texas De Brazil,"['10155 Perkins Rowe #100', 'Baton Rouge, LA 70810']",False,"[30.379345, -91.093732]","this place is the bomb, I'm a meat eater and I love LAMB and it just keep on coming. the price is alright with me my wife ,3sons and grandson don't pay I do",Brazilian Restaurant,True,1.0,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.8884}","['bomb,', 'love', 'alright', 'pay']",['price'],1,0
301,4.0,,"['Indian Restaurant', 'Asian Restaurant', 'South Asian Restaurant']",117341619164447069336,2013-08-31 17:20:02,2013-08-31,en,Sitar Indian Cuisine,"['3630 Durham-Chapel Hill Blvd', 'Durham, NC 27707']",False,"[35.971997, -78.950527]",,Indian Restaurant,True,4.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[],1,0
307,1.0,"Aunque la pizza estaba bien, La atención de la chica que nos buscó la mesa fue desagradable, desinteresada y nada amable. estaba como molesta solo por el hecho de que pedimos una mesa. Odio que cada cliente no cuente. la masera fue amable, lo normal. Pero solo la llegada con esa chica, comenzó muy mal la cena. Deberán prestar mas atención con los empleados","['Pizza Restaurant', 'European Restaurant', 'Italian Restaurant']",115770669215145191270,2013-10-15 16:13:24,2013-10-15,es,Pizza Rustica,"['667 Lincoln Rd', 'Miami Beach, FL 33139']",False,"[25.790659, -80.135442]","Although the pizza was good, the attention of the girl who found the table for us was unpleasant, disinterested and not at all friendly. she was kind of annoyed just by the fact that we asked for a table. I hate that every customer doesn't count. The masera was friendly, normal. But just arriving with that girl, the dinner started very badly. They should pay more attention to employees",Pizza Restaurant,True,1.0,"{'neg': 0.181, 'neu': 0.768, 'pos': 0.051, 'compound': -0.8519}","['good,', 'unpleasant,', 'friendly.', 'kind', 'annoyed', 'hate', 'friendly,', 'badly.', 'pay']",[],0,1
311,5.0,,"['American Restaurant', 'Bar']",103654778391814923896,2011-07-24 12:14:43,2011-07-24,en,Blue Ribbon,"['97 Sullivan St', 'New York, NY 10012']",False,"[40.725484, -74.003075]",,American Restaurant,True,4.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[],1,0
313,5.0,Get the chicken green salad. Yum.,['Chicken Restaurant'],107098981103934500500,2011-07-24 12:09:50,2011-07-24,en,Chirping Chicken,"['355 Amsterdam Ave', 'New York, NY 10023']",False,"[40.781641, -73.979189]",Get the chicken green salad. Yum.,Chicken Restaurant,True,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[],[],0,1
314,5.0,"Never had a falafel bar before. Yum. +1 for super crunchy sweet potato fries, which is next to impossible to achieve.","['Vegetarian Restaurant', 'Mediterranean Restaurant', 'Middle Eastern Restaurant']",108585910849109169666,2011-07-24 12:08:35,2011-07-24,en,Maoz Vegetarian,"['2047 Broadway', 'New York, NY 10023']",False,"[40.777769, -73.982526]","Never had a falafel bar before. Yum. +1 for super crunchy sweet potato fries, which is next to impossible to achieve.",Vegetarian Restaurant,True,2.0,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.7845}","['super', 'sweet']",[],0,1
315,5.0,"Hoity toity country market in a perfect, oddly non-redneck setting","['American Restaurant', 'Deli', 'Food Products Supplier']",109986372839986874635,2011-07-24 12:06:10,2011-07-24,en,Jimtown Store,"['6706 California 128', 'Healdsburg, CA 95448']",False,"[38.668615, -122.817146]","Hoity toity country market in a perfect, oddly non-redneck setting",American Restaurant,True,1.0,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.5719}","['perfect,']",[],1,0
316,5.0,Because they get it right every  time.  Love you guys.,"['Delivery Restaurant', 'Event Planner', 'Business to Business Service']",110864889964667973890,2011-09-15 16:24:03,2011-09-15,en,"Delivered Dish | Portland, OR","['Portland, OR']",False,"[45.470342, -122.747085]",Because they get it right every  time.  Love you guys.,Delivery Restaurant,True,3.0,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",['Love'],[],1,0
317,5.0,Incredible short rib hash for breakfast,"['French Restaurant', 'American Restaurant', 'Wine Bar']",115453471525181677863,2011-11-05 12:25:10,2011-11-05,en,Cafe Luxembourg,"['200 W 70th St', 'New York, NY 10023']",False,"[40.777402, -73.983032]",Incredible short rib hash for breakfast,French Restaurant,True,1.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[],[],1,0
319,5.0,,"['New American Restaurant', 'American Restaurant']",117235283533657903254,2011-11-05 12:25:36,2011-11-05,en,Telepan,"['72 W 69th St', 'New York, NY 10023']",False,"[40.775235, -73.979909]",,New American Restaurant,True,0.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[],1,0
320,5.0,fried oyster roll = heaven,['Sushi Restaurant'],117564402070301292224,2011-09-15 16:42:38,2011-09-15,en,Blue Ribbon Sushi Bar & Grill,"['308 W 58th St', 'New York, NY 10019']",False,"[40.767487, -73.983202]",fried oyster roll = heaven,Sushi Restaurant,True,1.0,"{'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.5106}",['heaven'],[],1,0
