,name,address,closed,gPlusPlaceId,gps,Class_,Class_$,Class_$$,Class_$$$,location_cluster,rating,categories,unixReviewTime,reviewTime,top_category,relevant_cat,translated,cat_cluster,sentiment,charged_words,price_words
10,Boca Grande Restaurant,"['1294 Beacon St', 'Brookline, MA 02446']",False,110890957979416262259,"[42.342728, -71.120273]",0,0,0,1,0.0,3.0,"['Mexican Restaurant', 'Latin American Restaurant', 'Tex-Mex Restaurant']",2004-11-08 00:00:00,2004-11-07,Mexican Restaurant,True,,,,,[]
11,El Novillo Restaurant,"['6830 Bird Rd', 'Miami, FL 33155']",False,114407663862333461774,"[25.733202, -80.305344]",0,0,1,0,0.0,5.0,"['Nicaraguan Restaurant', 'Latin American Restaurant', 'Steak House']",2012-12-08 13:55:57,2012-12-08,Nicaraguan Restaurant,True,,,,,[]
12,Chili's Grill & Bar,"['385 Marsh Landing Pkwy', 'Jacksonville Beach, FL 32250']",False,101392357753276616352,"[30.254767, -81.389368]",0,0,1,0,0.0,2.0,"['Bar & Grill', 'American Restaurant']",2013-04-05 14:30:43,2013-04-05,Bar & Grill,True,,,,,[]
13,Golden Corral,"['7047 Arundel Mills Blvd', 'Hanover, MD 21076']",False,104311100585790045518,"[39.153397, -76.72365]",0,0,0,1,0.0,3.0,"['Buffet Restaurant', 'American Restaurant']",2012-07-30 09:24:12,2012-07-30,Buffet Restaurant,True,,,,,[]
14,Maoz Vegetarian,"['2047 Broadway', 'New York, NY 10023']",False,108585910849109169666,"[40.777769, -73.982526]",0,0,0,1,0.0,5.0,"['Vegetarian Restaurant', 'Mediterranean Restaurant', 'Middle Eastern Restaurant']",2011-07-24 12:08:35,2011-07-24,Vegetarian Restaurant,True,,2.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
15,Blue C Sushi,"['1510 7th Ave', 'Seattle, WA 98101']",False,110092324916662579971,"[47.612141, -122.333665]",0,0,1,0,0.0,4.0,"['Japanese Restaurant', 'Sushi Restaurant']",2012-11-10 18:49:06,2012-11-10,Japanese Restaurant,True,Great food especially the fried rice and sandwiches. The place is in a greyhound station so not exactly the best decor.,2.0,"{'neg': 0.127, 'neu': 0.718, 'pos': 0.155, 'compound': 0.1857}","['Great', 'best']",[]
16,BistroChi,"['37 Cottage Ave', 'Quincy, MA 02169']",False,100639596458510898409,"[42.249412, -71.000842]",0,0,1,0,0.0,4.0,"['Chinese Restaurant', 'Asian Restaurant']",2011-12-30 00:11:35,2011-12-29,Chinese Restaurant,True,,,,,[]
17,Denny's,"['1222 Boone Ave', 'Kingsland, GA 31548']",False,103875725006430624671,"[30.790392, -81.66159]",0,0,0,1,0.0,1.0,['American Restaurant'],2013-10-03 23:11:23,2013-10-03,American Restaurant,True,,,,,[]
18,Sushi Thai Restaurant,"['2624 Watson Blvd', 'Warner Robins, GA 31093']",False,103183341477493828670,"[32.619039, -83.668724]",0,0,1,0,0.0,5.0,"['Asian Restaurant', 'Thai Restaurant', 'Japanese Restaurant']",2012-07-10 14:38:34,2012-07-10,Asian Restaurant,True,Place has gone downhill. I have been coming here for four years. The last two trips have been the final ones. Management should really keep a closer eye on whats happening. The bathroom smelled like a rock concert. The cook was cleaning over the grill while he was cooking. Who can make sense of that?,1.0,"{'neg': 0.0, 'neu': 0.956, 'pos': 0.044, 'compound': 0.3612}",['like'],[]
19,Filomena Ristorante,"['1063 Wisconsin Ave NW', 'Washington, DC 20007']",False,112628173623734872017,"[38.904418, -77.062685]",0,0,1,0,0.0,5.0,"['Italian Restaurant', 'European Restaurant']",2012-09-13 03:48:40,2012-09-12,Italian Restaurant,True,,,,,[]
20,Goodman,"['11 Old Jewry', 'London EC2R 8DU', 'United Kingdom']",False,117503565795054824834,"[51.514384, -0.090687]",0,0,1,0,0.0,5.0,['Steak House'],2012-03-09 00:00:00,2012-03-08,Steak House,True,,,,,[]
21,Southern Hospitality,"['645 9th Ave', 'New York, NY 10036']",False,105907375313965130083,"[40.760574, -73.991302]",0,0,1,0,0.0,5.0,"['Soul Food Restaurant', 'Barbecue Restaurant']",2013-11-10 02:04:04,2013-11-09,Soul Food Restaurant,True,,,,,[]
22,Narai Thai Cuisine,"['7611 Firestone Blvd', 'Downey, CA 90241']",False,114272921746699387804,"[33.946823, -118.144692]",0,0,1,0,0.0,4.0,"['Asian Restaurant', 'Southeast Asian Restaurant', 'Thai Restaurant']",2013-01-27 01:04:49,2013-01-26,Asian Restaurant,True,"HGHLY RECOMMEND!  Excellent,from service to food to atmosphere. Visiting a friend in Paia, and we were supposed to hit a steakhouse in Makawao, but he runs on hawaii time and the place was closed.  Walked into Pollies  minutes shy of closing.  Waitress asked the cook and they stayed open for us.  Ordered a burger, thing was huge, bigger than any regualr restaurant. Also got chicken and beef tostados as an app.  Fresh made chips and great salsa to munch on while waiting.  We were stuffed and they gave us about a half pound of salsa and big bag of chips to go for free.  It is BYOB.  Quick Note, across the street is an italian restaurant Casanova's, on Wednesday nights it is Ladies Night, not my scene, but had a great time.  DJ, dance floor.",1.0,"{'neg': 0.016, 'neu': 0.816, 'pos': 0.168, 'compound': 0.9768}","['RECOMMEND!', 'friend', 'shy', 'huge,', 'Fresh', 'great', 'free.', 'great']",[]
23,Nobu,"['The Crescent', 'Atlantis, The Palm - Dubai', 'United Arab Emirates']",False,107144990334484802108,"[25.130754, 55.117459]",1,0,0,0,0.0,4.0,"['Japanese Restaurant', 'Asian Restaurant', 'Bar']",2012-02-22 12:41:43,2012-02-22,Japanese Restaurant,True,,,,,[]
24,Dylans Tavern & Grill,"['118 S Clinton St', 'Chicago, IL 60661']",False,114745163460555595538,"[41.879909, -87.641274]",0,0,1,0,0.0,3.0,"['American Restaurant', 'Continental Restaurant', 'Bar']",2013-03-31 01:18:46,2013-03-30,American Restaurant,True,,,,,[]
25,Dishoom,"[""12 Upper St Martin's Ln"", 'London WC2H 9FB', 'United Kingdom']",False,108988733095579309590,"[51.512357, -0.126836]",0,0,0,1,0.0,5.0,"['Indian Restaurant', 'South Asian Restaurant', 'Asian Restaurant']",2012-05-30 18:44:03,2012-05-30,Indian Restaurant,True,,,,,[]
26,Bertucci's,"['280 School St', 'Mansfield, MA 02048']",False,106026407859914667064,"[42.01235, -71.229706]",0,0,1,0,0.0,4.0,"['European Restaurant', 'Pizza Restaurant', 'Italian Restaurant']",2004-11-05 00:00:00,2004-11-04,European Restaurant,True,,,,,[]
27,El Tiempo Cantina,"['1308 Montrose Blvd', 'Houston, TX 77019']",False,107390227071306429060,"[29.755127, -95.392444]",0,0,1,0,0.0,5.0,"['Tex-Mex Restaurant', 'Latin American Restaurant', 'Mexican Restaurant']",2013-10-20 20:04:32,2013-10-20,Tex-Mex Restaurant,True,Service was good. Waiter brought refills without us having to wave him down. Wait time for the food was a little long. Overall would go back again.,3.0,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.4404}",['good.'],[]
28,Denny's,"['7375 E State St', 'Rockford, IL 61108']",False,109642078376650835818,"[42.269383, -88.972926]",0,0,0,1,0.0,5.0,['American Restaurant'],2012-06-07 04:24:00,2012-06-06,American Restaurant,True,,,,,[]
29,The New Fox & Hounds Restaurant,"['1298 Friess Lake Rd', 'Hubertus, WI 53033']",False,117796298134504024059,"[43.236016, -88.287899]",0,0,1,0,0.0,4.0,['American Restaurant'],2013-11-18 00:52:24,2013-11-17,American Restaurant,True,,,,,[]
30,The Porcupine,"['48 Charing Cross Rd', 'London WC2H 0BS', 'United Kingdom']",False,109057860704836431417,"[51.511768, -0.128228]",0,0,0,1,0.0,3.0,['Pub'],2013-03-28 00:18:11,2013-03-27,Pub,True,,,,,[]
31,Mariscos Ensenada,"['1405 El Camino Real', 'Oceanside, CA 92054']",False,101788547508969264434,"[33.20043, -117.331493]",0,0,0,1,0.0,3.0,"['Latin American Restaurant', 'Mexican Restaurant', 'Seafood Restaurant']",2012-09-08 04:45:55,2012-09-07,Latin American Restaurant,True,heeeee,1.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[],[]
32,Tasia,"['4728 S Campbell Ave', 'Springfield, MO 65810']",False,115671799654997579047,"[37.128305, -93.295769]",0,0,0,1,0.0,4.0,"['Asian Restaurant', 'Chinese Restaurant', 'Thai Restaurant']",2013-07-25 14:40:02,2013-07-25,Asian Restaurant,True,,,,,[]
33,Pizzaiolos pizza & pasta,"['355 E Westchester Pkwy #100', 'Grand Prairie, TX 75052']",False,103888879065110855041,"[32.671691, -97.003986]",0,0,1,0,0.0,5.0,"['Restaurant', 'European Restaurant', 'Italian Restaurant']",2013-02-06 04:21:55,2013-02-05,Restaurant,True,"I don't normally write reviews, but this place may warrant one... little slow and not extremely friendly when compared to the other nearby fast food joints.  I also tend to be cheap around the holidays and it bothers me when something is advertised and not honored.  They've been advertising their special constantly.  I even went the extra mile and checked the special online ahead of time.  But the price of my food was just about double and when questioned the employee stated I needed a coupon in order to honor the special.  I do not know if this is a problem with burger king on the larger scale or this particular franchise, but either way, I wasn't very impressed.",0.0,"{'neg': 0.13, 'neu': 0.744, 'pos': 0.126, 'compound': 0.1201}","['friendly', 'holidays', 'bothers', 'honored.', 'special', 'special', 'questioned', 'honor', 'special.', 'problem', 'impressed.']","['cheap', 'price']"
34,Andiamo! Brick Oven Pizza,"['5600 Biscayne Blvd', 'Miami, FL 33137']",False,109273027395910162769,"[25.827627, -80.186741]",0,0,1,0,0.0,4.0,"['Pizza Restaurant', 'European Restaurant', 'Italian Restaurant']",2014-03-16 00:19:37,2014-03-15,Pizza Restaurant,True,,,,,[]
35,Neptune Oyster,"['63 Salem St', 'Boston, MA 02113']",False,102832117273541852893,"[42.363254, -71.056036]",0,0,1,0,0.0,5.0,"['Seafood Restaurant', 'Bar']",2012-09-17 15:32:11,2012-09-17,Seafood Restaurant,True,,,,,[]
36,Angara Indian Restaurant,"['2170 Torrance Blvd', 'Torrance, CA 90501']",False,101867121039957793663,"[33.83625, -118.321158]",0,0,0,1,0.0,3.0,"['Indian Restaurant', 'Asian Restaurant', 'South Asian Restaurant']",2013-01-27 00:53:03,2013-01-26,Indian Restaurant,True,,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
37,Bucharest Grill,"['2040 Park Ave', 'Detroit, MI 48226']",False,118279746793420842563,"[42.336915, -83.052803]",0,0,0,1,0.0,5.0,"['Romanian Restaurant', 'Eastern European Restaurant', 'European Restaurant']",2013-11-06 20:18:40,2013-11-06,Romanian Restaurant,True,(and) (and),3.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[],[]
38,Planet Hollywood,"['57-60 Haymarket', 'London SW1Y 4QX', 'United Kingdom']",False,104278360420407431319,"[51.509137, -0.132487]",0,0,0,1,0.0,4.0,['American Restaurant'],2013-12-05 10:44:46,2013-12-05,American Restaurant,True,"Easily my favorite Thai Restaurant in ALL of Tokyo Only ¥800 for all items on the menu during lunch time. You can't beat that! Good size plates. Free drinks and desert with lunch. Great service and friendly Thai staff and chef. Downside, easy to miss if you are not careful.",1.0,"{'neg': 0.112, 'neu': 0.6, 'pos': 0.288, 'compound': 0.9293}","['Easily', 'favorite', 'Good', 'Free', 'Great', 'friendly', 'Downside,', 'easy', 'miss', 'careful.']",[]
39,Planet Hollywood,"['57-60 Haymarket', 'London SW1Y 4QX', 'United Kingdom']",False,104278360420407431319,"[51.509137, -0.132487]",0,0,0,1,0.0,2.0,['American Restaurant'],2012-03-12 18:45:41,2012-03-12,American Restaurant,True,,0.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
40,China Pearl,"['237 Quincy Ave', 'Quincy, MA 02169']",False,104514403664992919459,"[42.240012, -70.990688]",0,0,1,0,0.0,4.0,"['Chinese Restaurant', 'Asian Restaurant']",2004-11-08 00:00:00,2004-11-07,Chinese Restaurant,True,,,,,[]
41,Panda Garden,"['6600 Dixie Hwy', 'Fairfield, OH 45014']",False,111207572994439704859,"[39.320069, -84.496631]",0,0,1,0,0.0,5.0,"['Chinese Restaurant', 'Asian Restaurant']",2014-01-20 21:18:51,2014-01-20,Chinese Restaurant,True,,,,,[]
42,Porto Bello,"['41 Washington Ave', 'Grand Haven, MI 49417']",False,102008555105750929432,"[43.064806, -86.233404]",0,0,1,0,0.0,3.0,"['Italian Restaurant', 'European Restaurant', 'Pizza Restaurant']",2013-04-17 21:13:38,2013-04-17,Italian Restaurant,True,,0.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
43,China Isle Restaurant,"['323 S 500 E', 'American Fork, UT 84003']",False,118100250980311522399,"[40.370451, -111.784815]",0,0,1,0,0.0,4.0,"['Asian Restaurant', 'Chinese Restaurant']",2012-06-08 18:02:19,2012-06-08,Asian Restaurant,True,"The best pizza in Camboriu, with really funny waiters",1.0,"{'neg': 0.0, 'neu': 0.486, 'pos': 0.514, 'compound': 0.8122}","['best', 'funny']",[]
44,Bowl,"['607 Richmond Ave', 'Houston, TX 77006']",False,111359007563030584853,"[29.734356, -95.387452]",0,0,1,0,0.0,5.0,"['Restaurant', 'European Restaurant', 'Pizza Restaurant']",2013-10-20 20:05:26,2013-10-20,Restaurant,True,"If the city cafe didn't have this beautiful playground in front of the door, it would probably be bankrupt, because no guests come here because of the ice cream sundaes or the atmosphere. Outside you sit on hard plastic chairs, inside it is so dark that hardly anyone sits down there. The ice cream sundaes are small and carelessly decorated. That's a real shame because with a little ""more"" the city cafe would have what it takes to be the top ice cream cafe in the city thanks to its location. But 2 scoops in the waffle and watching the kids play works quite well here.",3.0,"{'neg': 0.074, 'neu': 0.82, 'pos': 0.106, 'compound': 0.691}","['beautiful', 'bankrupt,', 'no', 'hard', 'carelessly', 'shame', 'top', 'thanks', 'play', 'well']",[]
45,Yi-Ban,"['Dockside Rd', 'Royal Albert Dock', 'London E16 2QT, United Kingdom']",False,106755529219341967018,"[51.507771, 0.040798]",0,0,1,0,0.0,5.0,"['Chinese Restaurant', 'Asian Restaurant', 'Dim Sum Restaurant']",2011-12-29 18:17:46,2011-12-29,Chinese Restaurant,True,,,,,[]
46,Mama Hamils,"['480 Magnolia St', 'Madison, MS 39110']",False,109230265311155130667,"[32.444428, -90.122727]",0,0,1,0,0.0,4.0,"['Barbecue Restaurant', 'Chicken Restaurant']",2013-07-19 02:06:29,2013-07-18,Barbecue Restaurant,True,,,,,[]
47,Wagamama,"['10A Lexington St', 'London W1F 0LD', 'United Kingdom']",False,116776532218948506757,"[51.512422, -0.135539]",0,0,0,1,0.0,4.0,"['Japanese Restaurant', 'Asian Restaurant']",2012-03-09 00:00:00,2012-03-08,Japanese Restaurant,True,,,,,[]
48,Thai Basil,"['403 W University Dr #101', 'Tempe, AZ 85781']",False,105316293718838702315,"[33.421738, -111.944749]",0,0,1,0,0.0,5.0,"['Restaurant', 'Asian Restaurant', 'Southeast Asian Restaurant']",2013-09-17 04:08:22,2013-09-16,Restaurant,True,,,,,[]
49,Sushi Rock,"['2400 W Holcombe Blvd', 'Houston, TX 77030']",False,103910903908097474527,"[29.706341, -95.414867]",0,0,1,0,0.0,5.0,"['Sushi Restaurant', 'Asian Restaurant', 'Japanese Restaurant']",2013-11-03 00:10:08,2013-11-02,Sushi Restaurant,True,,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
50,The Flying Goat,"['3318 W Northwest Blvd', 'Spokane, WA 99205']",False,107377745432053659364,"[47.69055, -117.460334]",0,0,1,0,0.0,5.0,"['Pizza Restaurant', 'European Restaurant', 'Italian Restaurant']",2012-07-17 00:18:01,2012-07-16,Pizza Restaurant,True,,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
51,The Cheesecake Factory,"['115 Huntington Ave', 'Boston, MA 02199']",False,112294389863153061836,"[42.345862, -71.082046]",0,0,1,0,0.0,3.0,"['American Restaurant', 'Dessert Restaurant', 'Bakery']",2008-10-25 00:00:00,2008-10-24,American Restaurant,True,,,,,[]
52,"Delivered Dish | Portland, OR","['Portland, OR']",False,110864889964667973890,"[45.470342, -122.747085]",0,0,1,0,0.0,5.0,"['Delivery Restaurant', 'Event Planner', 'Business to Business Service']",2011-09-15 16:24:03,2011-09-15,Delivery Restaurant,True,My wife and I have been a few times and the food is hit or miss on quality but the one thing u can always count on is horrible service. A packed restaurant and 1 slow waitress. Stay away,2.0,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.7227}","['miss', 'horrible']",[]
53,Red Onion Thai Cuisine,"['1123 NW 23rd Ave', 'Portland, OR 97210']",False,114713828789925583632,"[45.531, -122.698765]",0,0,1,0,0.0,3.0,"['Thai Restaurant', 'Asian Restaurant', 'Southeast Asian Restaurant']",2013-07-11 16:55:16,2013-07-11,Thai Restaurant,True,,2.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
54,Los Cubanos Restaurant,"['22 N Almaden Ave', 'San Jose, CA 95110']",False,116714290900672170748,"[37.335308, -121.894065]",0,0,1,0,0.0,5.0,"['Restaurant', 'Caribbean Restaurant', 'Latin American Restaurant']",2011-04-15 15:45:58,2011-04-15,Restaurant,True,,,,,[]
55,Mari Vanna,"['Spiridonyevskiy pereulok, 10а', 'Moscow', 'Russia']",False,110857282954851218199,"[55.762549, 37.595829]",0,0,1,0,0.0,5.0,['Restaurant'],2012-08-09 07:23:11,2012-08-09,Restaurant,True,,,,,[]
56,Le Jeu de Quilles,"['45 Rue Boulard', '75014 Paris', 'France']",False,115018126413297939425,"[48.832268, 2.327778]",0,0,1,0,0.0,4.0,"['Restaurant', 'French Restaurant', 'Bistro']",2013-08-19 14:43:12,2013-08-19,Restaurant,True,,3.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
57,Kalapaki Joe's,"['3501 Rice St #208', 'Lihue, HI 96766']",False,101150904969050708534,"[21.961391, -159.353328]",0,0,1,0,0.0,3.0,"['American Restaurant', 'Pub', 'Sports Bar']",2012-09-13 01:15:06,2012-09-12,American Restaurant,True,,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
58,Fishtales Bar & Grill,"['3355 NE 33rd St', 'Fort Lauderdale, FL 33308']",False,113285258826425712840,"[26.169092, -80.100749]",0,0,1,0,0.0,5.0,"['Bar & Grill', 'Seafood Restaurant']",2012-07-01 21:16:08,2012-07-01,Bar & Grill,True,I took my mother to this lovely place one morning and I was happy with the waffles I got. She also seems satisfied with her eggs and toast. One thing that bothered me was when I got chocolate milk they gave me a lot of whip cream inside the chocolate milk. It was great but for 2 dollars ild like to have just a cup of milk with chocolate.,1.0,"{'neg': 0.021, 'neu': 0.813, 'pos': 0.165, 'compound': 0.8793}","['lovely', 'happy', 'satisfied', 'bothered', 'great', 'like']",[]
59,Twohey's Restaurant,"['1224 N Atlantic Blvd', 'Alhambra, CA 91801']",False,106224653671985054320,"[34.106529, -118.134472]",0,0,0,1,0.0,1.0,['American Restaurant'],2014-03-23 00:25:59,2014-03-22,American Restaurant,True,,,,,[]
60,Founders Arms,"['52 Hopton St', 'Bankside', 'London SE1 9JH, United Kingdom']",False,100924905982902462706,"[51.508577, -0.101781]",0,0,0,1,0.0,3.0,"['Gastropub', 'Pub']",2012-12-16 22:06:05,2012-12-16,Gastropub,True,,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
61,Heritage Family Pantry,"['2601 Carson St', 'Lakewood, CA 90712']",False,103939407974255688238,"[33.832605, -118.160912]",0,0,1,0,0.0,5.0,['Family Restaurant'],2012-12-01 18:43:03,2012-12-01,Family Restaurant,True,,0.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
62,Havana-Jax Cafe,"['2578 Atlantic Blvd', 'Jacksonville, FL 32207']",False,110915173906739768156,"[30.305435, -81.637485]",0,0,1,0,0.0,4.0,"['Cuban Restaurant', 'Caribbean Restaurant', 'Latin American Restaurant']",2013-05-09 16:00:58,2013-05-09,Cuban Restaurant,True,,0.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
63,Bamboo Sushi,"['836 NW 23rd Ave', 'Portland, OR 97210']",False,113222470445089038543,"[45.528921, -122.698463]",0,0,1,0,0.0,4.0,"['Japanese Restaurant', 'Sushi Restaurant']",2013-09-09 03:30:38,2013-09-08,Japanese Restaurant,True,,,,,[]
64,La Figa Restaurant,"['The Mosaic', '45 Narrow St', 'E14 8DN, United Kingdom']",False,111670492263047780598,"[51.510089, -0.039449]",0,0,1,0,0.0,5.0,"['Italian Restaurant', 'European Restaurant']",2012-12-01 00:19:10,2012-11-30,Italian Restaurant,True,,,,,[]
65,Pho 888,"['539 Sable Blvd', 'Aurora, CO 80011']",False,113731582730578350193,"[39.724134, -104.821328]",0,0,1,0,0.0,4.0,"['Asian Restaurant', 'Southeast Asian Restaurant', 'Vietnamese Restaurant']",2013-04-30 17:05:58,2013-04-30,Asian Restaurant,True,,,,,[]
66,Brewery Bar III,"['9228 Park Meadows Dr', 'Lone Tree, CO 80124']",False,114673988097652912217,"[39.55435, -104.882998]",0,0,1,0,0.0,5.0,"['Mexican Restaurant', 'Bar']",2013-09-06 00:35:01,2013-09-05,Mexican Restaurant,True,,,,,[]
67,Belgo,"['50 Earlham St', 'London WC2H 9LJ', 'United Kingdom']",False,103124578121356311108,"[51.513795, -0.125755]",0,0,0,1,0.0,4.0,"['Belgian Restaurant', 'European Restaurant', 'Entertainment']",2012-03-09 00:00:00,2012-03-08,Belgian Restaurant,True,,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
68,Sandpiper Cafe,"['429 W Willoughby Ave', 'Juneau, AK 99801']",False,104834955896047099944,"[58.301036, -134.416208]",0,0,1,0,0.0,4.0,['Restaurant'],2012-10-26 16:11:36,2012-10-26,Restaurant,True,,,,,[]
69,Jae's,"['520 Columbus Ave', 'Boston, MA 02118']",False,112729062439736623260,"[42.341932, -71.079841]",0,0,1,0,0.0,4.0,"['Asian Restaurant', 'Sushi Restaurant', 'Thai Restaurant']",2004-11-05 00:00:00,2004-11-04,Asian Restaurant,True,,,,,[]
70,Canton King Chinese Restaurant,"['2750 W 68th St #105', 'Hialeah, FL 33016']",False,106178092559994437147,"[25.882917, -80.338592]",0,0,0,1,0.0,1.0,"['Chinese Restaurant', 'Asian Restaurant']",2014-01-22 04:46:01,2014-01-21,Chinese Restaurant,True,,,,,[]
71,Asian Buffet & Grill,"['1750 E Sternberg Rd', 'Muskegon, MI 49444']",False,109205661536186731131,"[43.154519, -86.2028]",0,0,1,0,0.0,4.0,['Asian Restaurant'],2013-05-27 12:25:57,2013-05-27,Asian Restaurant,True,"On vacation from the east coast where Italian food is very popular. This place comes nowhere near even the most mediocre of places. Sauce on spaghetti and meatballs tasted like some sort of gravy, bread was stale, and oil and vinegar for the salad was delivered to the table in actual oil and vinegar bottles clearly plucked straight from the pantry. Won't be back to San Francisco anytime soon, but wouldn't recommend this place to anybody who has ever had real Italian food.",1.0,"{'neg': 0.03, 'neu': 0.889, 'pos': 0.081, 'compound': 0.3467}","['popular.', 'like', 'clearly', 'straight', 'recommend']",[]
72,Manito Tap House,"['3011 S Grand Blvd', 'Spokane, WA 99203']",False,108726835119576698559,"[47.627143, -117.401616]",0,0,1,0,0.0,5.0,"['Gastropub', 'Fast Food Restaurant', 'American Restaurant']",2012-07-17 00:20:15,2012-07-16,Gastropub,True,"Worst Chicken Sharma I have ever had, I will try the Falafel and update this review later.",4.0,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.6249}",['Worst'],[]
73,Telepan,"['72 W 69th St', 'New York, NY 10023']",False,117235283533657903254,"[40.775235, -73.979909]",0,0,1,0,0.0,5.0,"['New American Restaurant', 'American Restaurant']",2011-11-05 12:25:36,2011-11-05,New American Restaurant,True,"I was not much of a Thai fan until one of my coworkers made me go here.  Lunch is definately the way to go because you get huge overly generous portions, free soup, and a great eggroll to top it off.  Options 6 through 8 are traditional thai favorites.  Pad thai at #6 is enjoyed by most.  I personally like the Pud See Uk (sp?) or #8 as I call it.  I go here twice a week and was actually kind of upset when they closed for a holiday week because it has been such a staple for me.   Must try it once and a weekday lunch is my recommendation",1.0,"{'neg': 0.022, 'neu': 0.758, 'pos': 0.22, 'compound': 0.9744}","['fan', 'huge', 'generous', 'free', 'great', 'top', 'favorites.', 'enjoyed', 'like', 'kind', 'upset', 'holiday']",[]
